,,Senate,House,Total
Days in session ....................................,,173,142,. .
Time in session ...................................,,"1236 hrs., 15′","922 hrs., 4′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"14,084","10,967",. .
Extensions of Remarks ................,,. .,"2,526",. .
Public bills enacted into law ...............,,27,109,136
Private bills enacted into law ..............,,1,. .,1
Bills in conference ...............................,,19,3,. .
"Measures passed, total .........................",,425,592,"1,017"
Senate bills ..................................,,90,25,. .
House bills ..................................,,102,267,. .
Senate joint resolutions ...............,,11,6,. .
House joint resolutions ...............,,14,19,. .
Senate concurrent resolutions ......,,43,9,. .
House concurrent resolutions ......,,42,91,. .
Simple resolutions .......................,,123,175,. .
"Measures reported, total ......................",,*246,*323,569
Senate bills ..................................,,139,3,. .
House bills ..................................,,41,204,. .
Senate joint resolutions ...............,,8,. .,. .
House joint resolutions ...............,,. .,5,. .
Senate concurrent resolutions ......,,17,. .,. .
House concurrent resolutions ......,,2,11,. .
Simple resolutions .......................,,39,100,. .
Special reports .....................................,,24,9,. .
Conference reports ...............................,,2,21,. .
Measures pending on calendar .............,,112,36,. .
"Measures introduced, total ..................",,"2,212","4,318","6,530"
Bills .............................................,,"1,891","3,610",. .
Joint resolutions ..........................,,30,81,. .
Concurrent resolutions ................,,93,298,. .
Simple resolutions .......................,,198,329,. .
Quorum calls .......................................,,3,5,. .
Yea-and-nay votes ...............................,,380,313,. .
Recorded votes ....................................,,. .,194,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
