,,Senate,House,Total
Days in session ....................................,,178,164,. .
Time in session ...................................,,"958 hrs., 32′","621 hrs., 48′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"10,113","10,550",. .
Extensions of Remarks ................,,. .,"1,368",. .
Public bills enacted into law ...............,,101,146,247
Private bills enacted into law ..............,,. .,2,2
Bills in conference ...............................,,1,1,. .
"Measures passed, total .........................",,629,621,"1,250"
Senate bills ..................................,,180,130,. .
House bills ..................................,,154,371,. .
Senate joint resolutions ...............,,6,. .,. .
House joint resolutions ...............,,2,2,. .
Senate concurrent resolutions ......,,11,7,. .
House concurrent resolutions ......,,8,14,. .
Simple resolutions .......................,,268,97,. .
"Measures reported, total ......................",,*371,*446,817
Senate bills ..................................,,274,3,. .
House bills ..................................,,63,341,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,. .,. .
Senate concurrent resolutions ......,,4,. .,. .
House concurrent resolutions ......,,. .,. .,. .
Simple resolutions .......................,,29,102,. .
Special reports .....................................,,4,42,. .
Conference reports ...............................,,. .,. .,. .
Measures pending on calendar .............,,422,202,. .
"Measures introduced, total ..................",,"2,388","4,128","6,516"
Bills .............................................,,"1,929","3,357",. .
Joint resolutions ..........................,,37,39,. .
Concurrent resolutions ................,,28,59,. .
Simple resolutions .......................,,394,673,. .
Quorum calls .......................................,,. .,1,. .
Yea-and-nay votes ...............................,,421,532,. .
Recorded votes ....................................,,. .,16,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
