,Senate,Hou.re,Total
Days in session ...............................,137,129,
Time in session ..............................,"1,126 hrs., 52'","749 hrs., 01'",
Congressional Rec1Jrd:,,,
Pages of proceedings ..............,"17,397","ll,290","28,687"
Extensions of Remarks ............,,,"3,776"
Public bills enacted into law ...........,193,280,473
Private bills enacted into law. .........,IO,31,41
Bills in conference ..........................,3,4,
"Measures passed, total ....................",814,858,"1,672"
Senate bills ..............................,188,131,
House bills ..............................,273,330,
Senate joint resolutions ...........,106,85,
House joint resolutions ...........,51,70,
Senate concurrent resolutions ..,52,32,
House concurrent resolutions ..,32,46,
Simple resolutions ...................,ll2,164,
"Measures reported, total... ..............",•511,*636,"1,147"
Senate bills ..............................,262,34,
House bills ..............................,100,360,
Senate joint resolutions ...........,88,2,
House joint resolutions ...........,3,5,
Senate concurrent resolutions. .,14,,
House concurrent resolutions ..,1,,
Simple resolutions ...................,43,95,
Special reports ................................,13,85,
Conference reports .........................,,49,
Measures pending on calendar .......,108,88,
"Measures introduced, total .............","1,328","2,412","3,740"
Bills ........................................,932,"1,745",
Joint resolutions ......................,156,241,
Concurrent resolutions ............,74,163,
Simple resolutions ...................,166,263,
Quorum calls ..................................,26,14,
Yea-and-nay votes ..........................,379,308,
Recorded votes ..............................,,143,
Bills vetoed ....................................,6,10,16
Vetoes overridden ..........................,,,
