,Senate,House,Total
Days in session ................................ .,136,147,
Time in session ................................,"1,003 hrs., 19","748 hrs., 54",
Congressional Record:,,,
Pages of proceedings ............... .,"16,944","9,746","26,690"
Extension of Remarks ............. .,,"4,144","4,144"
Public bills enacted into law ........... .,90,150,240
Private bills enacted into law .......... .,,2,2
Bills in conference .......................... .,30,6,
"Measures passed, total ..................... .",605,598,"1,203"
Senate bills ............................. .,121,26,
House bills ............................. .,128,246,
Senate joint resolutions ........... .,106,64,
House joint resolurions ........... .,50,55,
Senate concurrent resolutions ...,39,28,
House concurrent resolutions .. .,22,32,
Simple resolutions .................. .,139,147,
"Measures reported, total .................. .",*387,*337,724
Senate bills ............................. .,198,4,
House bills ............................. .,45,251,
Senate joint resolutions ........... .,84,1,
House joint resolutions ........... .,5,5,
Senate concurrent resolutions ...,12,,
House concurrent resolutions ...,0,1,
Simple resolutions .................. .,44,75,
Special reports ................................ .,22,26,
Conference reports .......................... .,,31,
Measures pending on calendar .........,109,34,
"Measures introduced, total .............. .","2,548","4,842","7,390"
Bills ...................................... .,"2,000","3,846",
Joint resolutions ..................... .,234,454,
Concurrent resolutions ............ .,87,241,
Simple resolutions .................. .,227,301,
Quorum calls .................................. .,11,11,
Yea-and-nay votes . ......................... .,312,226,
Recorded votes ................................ .,,142,
Bills vetoed ..................................... .,,9,
Vetoes overridden ........................... .,,,
