,,Senate,House,Total
Days in session ....................................,,192,163,. .
Time in session ...................................,,"963 hrs., 52′","565 hrs, 26′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"8,017","9,184",. .
Extensions of Remarks ................,,. .,"1,224",. .
Public bills enacted into law ...............,,88,91,. .
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,. .,1,. .
"Measures passed, total .........................",,510,559,"1,069"
Senate bills ..................................,,155,91,. .
House bills ..................................,,143,351,. .
Senate joint resolutions ...............,,5,4,. .
House joint resolutions ...............,,6,8,. .
Senate concurrent resolutions ......,,6,5,. .
House concurrent resolutions ......,,9,11,. .
Simple resolutions .......................,,186,89,. .
"Measures reported, total ......................",,*196,324,520
Senate bills ..................................,,160,3,. .
House bills ..................................,,25,289,. .
Senate joint resolutions ...............,,. .,. .,. .
House joint resolutions ...............,,. .,1,. .
Senate concurrent resolutions ......,,. .,. .,. .
House concurrent resolutions ......,,. .,2,. .
Simple resolutions .......................,,11,29,. .
Special reports .....................................,,6,32,. .
Conference reports ...............................,,1,1,. .
Measures pending on calendar .............,,401,145,. .
"Measures introduced, total ..................",,"2,325","4,108","6,433"
Bills .............................................,,"1,938","3,535",. .
Joint resolutions ..........................,,20,29,. .
Concurrent resolutions ................,,21,46,. .
Simple resolutions .......................,,346,498,. .
Quorum calls .......................................,,5,1,. .
Yea-and-nay votes ...............................,,292,218,. .
Recorded votes ....................................,,. .,34,. .
Bills vetoed .........................................,,2,2,. .
Vetoes overridden ................................,,1,1,. .
