,Senate,House,Total
Days in session ....................................,132,122,
Time in session ...................................,"1,036 hrs., 45'","919 hrs., 12'",
Congressional Record:,,,
Pages of proceedings .................. .,"12,471","12,304",
Extensions of Remarks ............... .,,"1,951",
Public bills enacted into law .............. .,53,192,
Private bills enacted into law ............. .,,3,
Bills in conference ...............................,2,8,
"Measures passed, total .........................",476,529,
Senate bills ..................................,149,50,
House bills ..................................,178,276,
Senate joint resolutions ............. ..,3,4,
House joint resolutions ...............,13,18,
Senate concurrent resolutions,20,11,
House concurrent resolutions ..... .,25,41,
Simple resolutions ...................... .,88,129,
"Measures reported, total ......................",*260,*371,
Senate bills ..................................,181,8,
House bills ..................................,63,255,
Senate joint resolutions ...............,,0,
House joint resolutions ...............,1,5,
Senate concurrent resolutions,4,0,
House concurrent resolutions ......,1,7,
Simple resolutions ...................... .,9,96,
Special reports .....................................,15,38,
Conference reports ...............................,1,34,
Measures pending on calendar .............,267,74,
"Measures introduced, total ..................",860,"1,899",
Bills ............................................ .,687,"1,504",
Joint resolutions ..........................,20,61,
Concurrent resolutions ............... .,36,102,
Simple resolutions .......................,117,232,
Quorum calls ...................................... .,2,1,
Yea-and-nay votes .............................. .,306,223,
Recorded votes ....................................,,231,
Bills vetoed ........................................ .,0,6,
Vetoes overridden ................................,0,,
