,,Senate,House,Total
Days in session ....................................,,143,119,. .
Time in session ...................................,,"1,095 hrs., 05′","997 hrs., 42′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"13,004","12,048",. .
Extensions of Remarks ................,,. .,"2,367",. .
Public bills enacted into law ...............,,91,150,241
Private bills enacted into law ..............,,. .,6,6
Bills in conference ...............................,,. .,5,. .
"Measures passed, total .........................",,506,642,"1,148"
Senate bills ..................................,,171,92,. .
House bills ..................................,,157,287,. .
Senate joint resolutions ...............,,4,4,. .
House joint resolutions ...............,,10,12,. .
Senate concurrent resolutions ......,,30,11,. .
House concurrent resolutions ......,,25,52,. .
Simple resolutions .......................,,109,184,. .
"Measures reported, total ......................",,*363,*378,741
Senate bills ..................................,,245,6,. .
House bills ..................................,,79,241,. .
Senate joint resolutions ...............,,7,. .,. .
House joint resolutions ...............,,1,4,. .
Senate concurrent resolutions ......,,9,. .,. .
House concurrent resolutions ......,,1,9,. .
Simple resolutions .......................,,21,118,. .
Special reports .....................................,,19,40,. .
Conference reports ...............................,,. .,26,. .
Measures pending on calendar .............,,246,87,. .
"Measures introduced, total ..................",,"1,321","2,254","3,575"
Bills .............................................,,"1,090","1,786",. .
Joint resolutions ..........................,,21,34,. .
Concurrent resolutions ................,,60,154,. .
Simple resolutions .......................,,150,280,. .
Quorum calls .......................................,,4,14,. .
Yea-and-nay votes ...............................,,314,257,. .
Recorded votes ....................................,,. .,276,. .
Bills vetoed .........................................,,. .,4,. .
Vetoes overridden ................................,,. .,2,. .
