,,Senate,House,Total
Days in session ....................................,,168,157,. .
Time in session ...................................,,"1,073 hrs., 39′","804 hrs., 59′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"8,913","10,717",. .
Extensions of Remarks ................,,. .,"1,847",. .
Public bills enacted into law ...............,,37,78,115
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,1,1,. .
"Measures passed, total .........................",,441,525,966
Senate bills ..................................,,98,38,. .
House bills ..................................,,82,323,. .
Senate joint resolutions ...............,,4,3,. .
House joint resolutions ...............,,3,5,. .
Senate concurrent resolutions ......,,11,6,. .
House concurrent resolutions ......,,24,28,. .
Simple resolutions .......................,,219,122,. .
"Measures reported, total ......................",,* 289,* 373,662
Senate bills ..................................,,219,9,. .
House bills ..................................,,36,288,. .
Senate joint resolutions ...............,,. .,. .,. .
House joint resolutions ...............,,. .,3,. .
Senate concurrent resolutions ......,,1,. .,. .
House concurrent resolutions ......,,. .,3,. .
Simple resolutions .......................,,33,70,. .
Special reports .....................................,,22,7,. .
Conference reports ...............................,,4,5,. .
Measures pending on calendar .............,,210,78,. .
"Measures introduced, total ..................",,"2,823","5,060","7,883"
Bills .............................................,,"2,427","4,302",. .
Joint resolutions ..........................,,28,79,. .
Concurrent resolutions ................,,26,105,. .
Simple resolutions .......................,,342,574,. .
Quorum calls .......................................,,6,2,. .
Yea-and-nay votes ...............................,,339,** 300,. .
Recorded votes ....................................,,. .,403,. .
Bills vetoed .........................................,,4,1,. .
Vetoes overridden ................................,,. .,. .,. .
