,,Senate,House,Total
Days in session ....................................,,187,193,. .
Time in session ...................................,,"947 hrs., 46′","787 hrs., 53′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"7,247","12,308",. .
Extensions of Remarks ................,,. .,"1,650",. .
Public bills enacted into law ...............,,30,75,105
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,. .,. .,. .
"Measures passed, total .........................",,506,632,"1,138"
Senate bills ..................................,,106,31,. .
House bills ..................................,,78,426,. .
Senate joint resolutions ...............,,24,5,. .
House joint resolutions ...............,,4,8,. .
Senate concurrent resolutions ......,,14,5,. .
House concurrent resolutions ......,,12,15,. .
Simple resolutions .......................,,268,142,. .
"Measures reported, total ......................",,* 338,* 352,690
Senate bills ..................................,,251,. .,. .
House bills ..................................,,33,291,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,1,. .
Senate concurrent resolutions ......,,4,. .,. .
House concurrent resolutions ......,,. .,2,. .
Simple resolutions .......................,,49,58,. .
Special reports .....................................,,24,10,. .
Conference reports ...............................,,2,2,. .
Measures pending on calendar .............,,278,97,. .
"Measures introduced, total ..................",,"3,703","6,467","10,170"
Bills .............................................,,"3,148","5,529",. .
Joint resolutions ..........................,,62,81,. .
Concurrent resolutions ................,,31,82,. .
Simple resolutions .......................,,462,775,. .
Quorum calls .......................................,,2,1,. .
Yea-and-nay votes ...............................,,428,328,. .
Recorded votes ....................................,,. .,372,. .
Bills vetoed .........................................,,5,1,. .
Vetoes overridden ................................,,. .,. .,. .
