,,Senate,House,Total
Days in session ....................................,,165,131,. .
Time in session ...................................,,"780 hrs.,58′","633 hrs., 15′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"7,184","7,641",. .
Extensions of Remarks ................,,. .,"1,743",. .
Public bills enacted into law ...............,,73,141,214
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,2,2,. .
"Measures passed, total .........................",,485,659,"1,144"
Senate bills ..................................,,97,75,. .
House bills ..................................,,141,450,. .
Senate joint resolutions ...............,,1,1,. .
House joint resolutions ...............,,1,1,. .
Senate concurrent resolutions ......,,13,7,. .
House concurrent resolutions ......,,17,27,. .
Simple resolutions .......................,,215,98,. .
"Measures reported, total ......................",,*329,*495,824
Senate bills ..................................,,242,10,. .
House bills ..................................,,49,413,. .
Senate joint resolutions ...............,,. .,. .,. .
House joint resolutions ...............,,. .,2,. .
Senate concurrent resolutions ......,,6,. .,. .
House concurrent resolutions ......,,1,5,. .
Simple resolutions .......................,,31,65,. .
Special reports .....................................,,12,27,. .
Conference reports ...............................,,3,3,. .
Measures pending on calendar .............,,462,144,. .
"Measures introduced, total ..................",,"1,466","2,714","4,180"
Bills .............................................,,"1,121","2,224",. .
Joint resolutions ..........................,,13,29,. .
Concurrent resolutions ................,,32,78,. .
Simple resolutions .......................,,300,383,. .
Quorum calls .......................................,,. .,1,. .
Yea-and-nay votes ...............................,,163,275,. .
Recorded votes ....................................,,. .,346,. .
Bills vetoed .........................................,,2,3,. .
Vetoes overridden ................................,,1,1,. .
