,,Senate,House,Total
Days in session ....................................,,149,123,. .
Time in session ...................................,,"1043 hrs., 23′","772 hrs., 15′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,11801,9135,. .
Extensions of Remarks ................,,. .,2151,. .
Public bills enacted into law ...............,,42,199,241
Private bills enacted into law ..............,,1,4,5
Bills in conference ...............................,,14,3,. .
"Measures passed, total .........................",,523,623,1146
Senate bills ..................................,,119,46,. .
House bills ..................................,,205,299,. .
Senate joint resolutions ...............,,3,3,. .
House joint resolutions ...............,,10,12,. .
Senate concurrent resolutions ......,,32,10,. .
House concurrent resolutions ......,,30,84,. .
Simple resolutions .......................,,124,169,. .
"Measures reported, total ......................",,*402,*408,810
Senate bills ..................................,,252,19,. .
House bills ..................................,,109,274,. .
Senate joint resolutions ...............,,3,1,. .
House joint resolutions ...............,,. .,4,. .
Senate concurrent resolutions ......,,9,. .,. .
House concurrent resolutions ......,,3,12,. .
Simple resolutions .......................,,26,98,. .
Special reports .....................................,,5,34,. .
Conference reports ...............................,,2,16,. .
Measures pending on calendar .............,,311,126,. .
"Measures introduced, total ..................",,1558,2711,4269
Bills .............................................,,1298,2157,. .
Joint resolutions ..........................,,23,44,. .
Concurrent resolutions ................,,67,223,. .
Simple resolutions .......................,,170,287,. .
Quorum calls .......................................,,2,1,. .
Yea-and-nay votes ...............................,,253,302,. .
Recorded votes ....................................,,. .,181,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
