,,Senate,House,Total
Days in session ....................................,,153,132,. .
Time in session ...................................,,"1,093 hrs., 07′","1,003 hrs., 42′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"12,724","10,963",. .
Extensions of Remarks ................,,. .,"2,425",. .
Public bills enacted into law ...............,,49,104,153
Private bills enacted into law ..............,,1,3,4
Bills in conference ...............................,,. .,2,. .
"Measures passed, total .........................",,385,544,929
Senate bills ..................................,,121,50,. .
House bills ..................................,,101,243,. .
Senate joint resolutions ...............,,5,3,. .
House joint resolutions ...............,,17,19,. .
Senate concurrent resolutions ......,,30,13,. .
House concurrent resolutions ......,,19,46,. .
Simple resolutions .......................,,93,170,. .
"Measures reported, total ......................",,*248,*374,622
Senate bills ..................................,,159,4,. .
House bills ..................................,,32,244,. .
Senate joint resolutions ...............,,2,1,. .
House joint resolutions ...............,,2,11,. .
Senate concurrent resolutions ......,,13,. .,. .
House concurrent resolutions ......,,2,9,. .
Simple resolutions .......................,,38,105,. .
Special reports .....................................,,22,13,. .
Conference reports ...............................,,. .,20,. .
Measures pending on calendar .............,,111,40,. .
"Measures introduced, total ..................",,"1,840","3,728","5,568"
Bills .............................................,,"1,568","3,088",. .
Joint resolutions ..........................,,39,106,. .
Concurrent resolutions ................,,70,200,. .
Simple resolutions .......................,,163,334,. .
Quorum calls .......................................,,6,7,. .
Yea-and-nay votes ...............................,,298,285,. .
Recorded votes ....................................,,. .,348,. .
Bills vetoed .........................................,,. .,3,. .
Vetoes overridden ................................,,. .,. .,. .
