,,Senate,House,Total
Days in session ....................................,,158,127,. .
Time in session ...................................,,"1,074 hrs., 40′","879 hrs., 20′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"11,075","8,993",. .
Extensions of Remarks ................,,. .,"2,259",. .
Public bills enacted into law ...............,,80,178,258
Private bills enacted into law ..............,,2,. .,2
Bills in conference ...............................,,. .,. .,. .
"Measures passed, total .........................",,569,922,"1,491"
Senate bills ..................................,,106,80,. .
House bills ..................................,,163,334,. .
Senate joint resolutions ...............,,4,4,. .
House joint resolutions ...............,,5,6,. .
Senate concurrent resolutions ......,,14,7,. .
House concurrent resolutions ......,,33,51,. .
Simple resolutions .......................,,244,440,. .
"Measures reported, total ......................",,* 388,* 295,683
Senate bills ..................................,,275,1,. .
House bills ..................................,,96,200,. .
Senate joint resolutions ...............,,2,. .,. .
House joint resolutions ...............,,. .,. .,. .
Senate concurrent resolutions ......,,2,. .,. .
House concurrent resolutions ......,,. .,3,. .
Simple resolutions .......................,,13,91,. .
Special reports .....................................,,6,30,. .
Conference reports ...............................,,. .,2,. .
Measures pending on calendar .............,,454,74,. .
"Measures introduced, total ..................",,"1,506","3,098","4,604"
Bills .............................................,,"1,139","2,158",. .
Joint resolutions ..........................,,17,41,. .
Concurrent resolutions ................,,30,111,. .
Simple resolutions .......................,,320,788,. .
Quorum calls .......................................,,8,4,. .
Yea-and-nay votes ...............................,,299,450,. .
Recorded votes ....................................,,. .,210,. .
Bills vetoed .........................................,,. .,1,. .
Vetoes overridden ................................,,. .,. .,. .
