,,Senate,House,Total
Days in session ....................................,,195,192,. .
Time in session ...................................,,"1,166 hrs., 34′","858 hrs., 32′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"8,289","10,434",. .
Extensions of Remarks ................,,. .,"1,769",. .
Public bills enacted into law ...............,,33,67,100
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,. .,. .,. .
"Measures passed, total .........................",,438,668,"1,106"
Senate bills ..................................,,114,30,. .
House bills ..................................,,67,441,. .
Senate joint resolutions ...............,,8,6,. .
House joint resolutions ...............,,17,20,. .
Senate concurrent resolutions ......,,10,9,. .
House concurrent resolutions ......,,8,16,. .
Simple resolutions .......................,,214,146,. .
"Measures reported, total ......................",,* 271,*476,747
Senate bills ..................................,,211,2,. .
House bills ..................................,,28,370,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,2,. .
Senate concurrent resolutions ......,,2,. .,. .
House concurrent resolutions ......,,. .,4,. .
Simple resolutions .......................,,29,98,. .
Special reports .....................................,,14,6,. .
Conference reports ...............................,,1,2,. .
Measures pending on calendar .............,,174,114,. .
"Measures introduced, total ..................",,"2,713","5,619","8,332"
Bills .............................................,,"2,265","4,724",. .
Joint resolutions ..........................,,51,124,. .
Concurrent resolutions ................,,31,97,. .
Simple resolutions .......................,,366,674,. .
Quorum calls .......................................,,3,1,. .
Yea-and-nay votes ...............................,,325,354,. .
Recorded votes ....................................,,. .,355,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
