,Senate,House,Total
Days in session ................................... .,158,154,
Time in session ...................................,"1,200 hrs., 44'","938 hrs., 34'",
Congressional Record:,,,
Pages of proceedings .................. .,"18,853","12,063","30,916"
Extensions of Remarks ................,,,"4,262"
Public bills enacted into law ...............,81,162,243
Private bills enacted into law ............. .,l,l,2
Bills in conference .............................. .,5,11,16
"Measures passed, total ........................ .",626,592,"1,218"
Senate bills ................................. .,169,47,
House bills ................................. .,127,236,
Senate joint resolutions .............. .,79,42,
House joint resolutions ...............,57,67,
Senate concurrent resolutions,30,13,
House concurrent resolutions ..... .,25,46,
Simple resolutions ...................... .,139,141,
"Measures reported, total ..................... .",*351,*365,716
Senate bills ................................. .,220,10,
House bills ................................. .,44,252,
Senate joint resolutions .............. .,28,,
House joint resolutions .............. .,l,7,
Senate concurrent resolutions,12,,
House concurrent resolutions,3,3,
Simple resolutions ...................... .,43,93,
Special reports .................................... .,20,26,
Conference reports .............................. .,l,33,
Measures pending on calendar ............ .,92,28,
"Measures introduced, total ................. .","2,701","5,057","7,758"
Bills .............................................,"2,136","4,085",
Joint resolutions ..........................,238,387,
Concurrent resolutions ............... .,86,263,
Simple resolutions ...................... .,241,322,
Quorum calls ...................................... .,3,16,
Yea-and-nay votes .............................. .,280,238,
Recorded votes ................................... .,,190,
Bills vetoed ....................................... ..,,2,3
Bills not signed .................................. .,11,,
Vetoes overriden ................................. .,,,
