,,Senate,House,Total
Days in session ....................................,,170,175,. .
Time in session ...................................,,"1,101 hrs., 44′","992 hrs., 40′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"8,793","10,033",. .
Extensions of Remarks ................,,. .,"2,347",. .
Public bills enacted into law ...............,,24,66,90
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,2,2,. .
"Measures passed, total .........................",,402,384,786
Senate bills ..................................,,61,21,. .
House bills ..................................,,64,190,. .
Senate joint resolutions ...............,,4,4,. .
House joint resolutions ...............,,5,7,. .
Senate concurrent resolutions ......,,17,7,. .
House concurrent resolutions ......,,17,23,. .
Simple resolutions .......................,,234,132,. .
"Measures reported, total ......................",,185,307,492
Senate bills ..................................,,132,3,. .
House bills ..................................,,22,213,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,3,. .
Senate concurrent resolutions ......,,2,. .,. .
House concurrent resolutions ......,,. .,2,. .
Simple resolutions .......................,,28,86,. .
Special reports .....................................,,17,50,. .
Conference reports ...............................,,3,3,. .
Measures pending on calendar .............,,183,84,. .
"Measures introduced, total ..................",,"2,447","4,456","6,903"
Bills .............................................,,"2,031","3,756",. .
Joint resolutions ..........................,,33,97,. .
Concurrent resolutions ................,,33,95,. .
Simple resolutions .......................,,351,508,. .
Quorum calls .......................................,,5,3,. .
Yea-and-nay votes ...............................,,235,275,. .
Recorded votes ....................................,,. .,671**,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
