,,Senate,House,Total
Days in session ....................................,,192,166,. .
Time in session ...................................,,"1,083 hrs., 11′","708 hrs., 7′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"9,319","7,849",. .
Extensions of Remarks ................,,. .,"1,406",. .
Public bills enacted into law ...............,,38,47,. .
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,. .,. .,. .
"Measures passed, total .........................",,423,506,929
Senate bills ..................................,,94,30,. .
House bills ..................................,,48,348,. .
Senate joint resolutions ...............,,5,4,. .
House joint resolutions ...............,,1,2,. .
Senate concurrent resolutions ......,,8,7,. .
House concurrent resolutions ......,,6,9,. .
Simple resolutions .......................,,261,106,. .
"Measures reported, total ......................",,*187,209,396
Senate bills ..................................,,133,. .,. .
House bills ..................................,,14,166,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,1,. .
Senate concurrent resolutions ......,,. .,. .,. .
House concurrent resolutions ......,,. .,. .,. .
Simple resolutions .......................,,39,42,. .
Special reports .....................................,,8,12,. .
Conference reports ...............................,,. .,. .,. .
Measures pending on calendar .............,,149,31,. .
"Measures introduced, total ..................",,"3,969","7,335","11,304"
Bills .............................................,,"3,429","6,343",. .
Joint resolutions ..........................,,33,67,. .
Concurrent resolutions ................,,24,66,. .
Simple resolutions .......................,,483,859,. .
Quorum calls .......................................,,4,1,. .
Yea-and-nay votes ...............................,,528,448,. .
Recorded votes ....................................,,. .,. .,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
