,,Senate,House,Total
Days in session ....................................,,153,153,. .
Time in session ...................................,,"930 hrs., 12′","726 hrs., 12′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"8,668","7,589",. .
Extensions of Remarks ................,,. .,"2,043",. .
Public bills enacted into law ...............,,54,139,193
Private bills enacted into law ..............,,1,. .,. .
Bills in conference ...............................,,. .,. .,. .
"Measures passed, total .........................",,479,479,958
Senate bills ..................................,,86,55,. .
House bills ..................................,,139,301,. .
Senate joint resolutions ...............,,3,2,. .
House joint resolutions ...............,,2,4,. .
Senate concurrent resolutions ......,,15,13,. .
House concurrent resolutions ......,,13,18,. .
Simple resolutions .......................,,221,86,. .
"Measures reported, total ......................",,*224,*335,559
Senate bills ..................................,,172,13,. .
House bills ..................................,,31,267,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,1,. .
Senate concurrent resolutions ......,,1,. .,. .
House concurrent resolutions ......,,. .,2,. .
Simple resolutions .......................,,19,52,. .
Special reports .....................................,,8,53,. .
Conference reports ...............................,,4,4,. .
Measures pending on calendar .............,,391,119,. .
"Measures introduced, total ..................",,"2,014","3,381","5,395"
Bills .............................................,,"1,685","2,967",. .
Joint resolutions ..........................,,18,25,. .
Concurrent resolutions ................,,32,52,. .
Simple resolutions .......................,,279,337,. .
Quorum calls .......................................,,. .,1,. .
Yea-and-nay votes ...............................,,251,246,. .
Recorded votes ....................................,,. .,** 412,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
