,,Senate,House,Total
Days in session ....................................,,191,174,. .
Time in session ...................................,,"1,015 hrs., 29′","657 hrs., 46′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"8,065","10,612",. .
Extensions of Remarks ................,,. .,"1,751",. .
Public bills enacted into law ...............,,108,221,. .
Private bills enacted into law ..............,,. .,1,. .
Bills in conference ...............................,,1,1,. .
"Measures passed, total .........................",,641,816,"1,457"
Senate bills ..................................,,145,105,. .
House bills ..................................,,224,557,. .
Senate joint resolutions ...............,,7,2,. .
House joint resolutions ...............,,1,1,. .
Senate concurrent resolutions ......,,14,10,. .
House concurrent resolutions ......,,15,18,. .
Simple resolutions .......................,,235,123,. .
"Measures reported, total ......................",,*385,*610,995
Senate bills ..................................,,252,11,. .
House bills ..................................,,114,529,. .
Senate joint resolutions ...............,,1,. .,. .
House joint resolutions ...............,,. .,. .,. .
Senate concurrent resolutions ......,,. .,. .,. .
House concurrent resolutions ......,,. .,2,. .
Simple resolutions .......................,,18,68,. .
Special reports .....................................,,14,33,. .
Conference reports ...............................,,4,5,. .
Measures pending on calendar .............,,405,217,. .
"Measures introduced, total ..................",,"1,967","3,257","5,224"
Bills .............................................,,"1,540","2,670",. .
Joint resolutions ..........................,,18,22,. .
Concurrent resolutions ................,,28,52,. .
Simple resolutions .......................,,381,513,. .
Quorum calls .......................................,,2,2,. .
Yea-and-nay votes ...............................,,274,326,. .
Recorded votes ....................................,,. .,172,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
