,,Senate,House,Total
Days in session ....................................,,156,160,. .
Time in session ...................................,,"1,095 hrs., 12′","767 hrs., 33′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"9,124","8,138",. .
Extensions of Remarks ................,,. .,"1,913",. .
Public bills enacted into law ...............,,16,56,72
Private bills enacted into law ..............,,. .,. .,. .
Bills in conference ...............................,,3,3,. .
"Measures passed, total .........................",,356,366,722
Senate bills ..................................,,57,17,. .
House bills ..................................,,57,206,. .
Senate joint resolutions ...............,,. .,. .,. .
House joint resolutions ...............,,2,16,. .
Senate concurrent resolutions ......,,16,15,. .
House concurrent resolutions ......,,14,16,. .
Simple resolutions .......................,,210,96,. .
"Measures reported, total ......................",,221,290,511
Senate bills ..................................,,146,4,. .
House bills ..................................,,10,223,. .
Senate joint resolutions ...............,,2,. .,. .
House joint resolutions ...............,,. .,. .,. .
Senate concurrent resolutions ......,,1,. .,. .
House concurrent resolutions ......,,. .,4,. .
Simple resolutions .......................,,62,59,. .
Special reports .....................................,,14,30,. .
Conference reports ...............................,,. .,. .,. .
Measures pending on calendar .............,,204,82,. .
"Measures introduced, total ..................",,"2,280","4,434","6,714"
Bills .............................................,,"1,894","3,810",. .
Joint resolutions ..........................,,29,104,. .
Concurrent resolutions ................,,30,72,. .
Simple resolutions .......................,,327,448,. .
Quorum calls .......................................,,13,1,. .
Yea-and-nay votes ...............................,,291,299,. .
Recorded votes ....................................,,. .,341,. .
Bills vetoed .........................................,,. .,. .,. .
Vetoes overridden ................................,,. .,. .,. .
