"",,Senate House,,Total
Days in session ....................................,,159 140,,. .
Time in session ...................................,,"1,222 hrs., 26′ 1,067 hrs., 12′",,. .
Congressional Record:,,,,
Pages of proceedings ...................,,"14,425 13,189",,. .
Extensions of Remarks ................,,". . 2,651",,. .
Public bills enacted into law ...............,,50 119,,169
Private bills enacted into law ..............,,. . . .,,. .
Bills in conference ...............................,,18 3,,. .
"Measures passed, total .........................",,624 715,,"1,339"
Senate bills ..................................,,194 51,,. .
House bills ..................................,,117 290,,. .
Senate joint resolutions ...............,,2 1,,. .
House joint resolutions ...............,,8 12,,. .
Senate concurrent resolutions ......,,22 11,,. .
House concurrent resolutions ......,,41 88,,. .
Simple resolutions .......................,,240 262,,. .
"Measures reported, total* ....................",,287 334,,621
Senate bills ..................................,,227 5,,. .
House bills ..................................,,37 186,,. .
Senate joint resolutions ...............,,2 . .,,. .
House joint resolutions ...............,,. . 3,,. .
Senate concurrent resolutions ......,,1 . .,,. .
House concurrent resolutions ......,,. . 6,,. .
Simple resolutions .......................,,20 134,,. .
Special reports .....................................,,14 10,,. .
Conference reports ...............................,,2 20,,. .
Measures pending on calendar .............,,180 93,,. .
"Measures introduced, total ..................",,"2,618 5,703",,"8,321"
Bills .............................................,,"2,169 4,653",,. .
Joint resolutions ..........................,,27 75,,. .
Concurrent resolutions ................,,75 330,,. .
Simple resolutions .......................,,347 645,,. .
Quorum calls .......................................,,3 2,,. .
Yea-and-nay votes ...............................,,366 362,,. .
Recorded votes ....................................,,. . 307,,. .
Bills vetoed .........................................,,. . . .,,. .
Vetoes overridden ................................,,. . . .,,. .
