,Senate,House,Total
Days in session ....................................,153,142,
Time in session ...................................,"1,269 hrs., 42","981 hrs., 55",
Congressional Record:,,,
Pages of proceedings ...................,"17,241","11,002","18,243"
Extensions of Remarks ................,,"3,134","3,134"
Public bills enacted into law ...............,83,127,210
Private bills enacted into law ..............,,,
Bills in conference ...............................,,4,
"Measures passed, coral .........................",473,547,"1,010"
Senate bills ..................................,131,42,
House bills ..................................,113,246,
Senate joinc resolutions ...............,61,36,
House joint resolutions ...............,26,30,
Senate concurrent resolutions ..... .,29,16,
House concurrent resolutions ......,20,29,
Simple resolutions .......................,93,128,
"Measures reported, coral ......................",*295,*372,667
Senate bills ..................................,175,11,
House bills ..................................,38,239,
Senate joint resolutions ...............,35,2,
House joinc resolucions ...............,,3,
Senate concurrent resolutions,9,,
House concurrent resolutions ..... .,l,8,
Simple resolutions .......................,37,109,
Special reports .....................................,22,13,
Conference reports ...............................,,28,
Measures pending on calendar .............,97,24,
"Measures introduced, coral ..................","2,178","4,543","6,721"
Bills .............................................,"1,785","3,720",
Jaine resolutions ..........................,160,303,
Concurrent resolutions ............... .,57,196,
Simple resolutions .......................,176,324,
Quorum calls .......................................,2,18,
Yea-and-nay voces ...............................,395,266,
Recorded vores ....................................,,331,
Bills vetoed .........................................,,,
Vetoes overridden ............................... .,,,
