"Civilian nominations, rotaling 342 (including 119 nominations carried",
"over from the first session), disposed of as follows:",
Confirmed ..................................................................................... .,150
Unconfirmed ................................................................................. .,181
Withdrawn ................................................................................... .,II
"Civilian nominations (FS, PHS, CG, NOAA), totaling 1,878 (includ­",
"ing 320 nominations carried over from the first session), disposed",
of as follows:,
Confirmed ......................................................................................,"1,335"
Unconfirmed ..................................................................................,543
"Air Fotce nominations, totaling 11,165 (including 4,952 nominations",
"carried over from the first session), disposed of as follows:",
Confirmed ......................................................................................,"11,159"
Unconfirmed ..................................................................................,6
"Army nominations, totaling 11,024 (including 2,304 nominations",
"carried over from the first session), disposed of as follows:",
Confirmed ......................................................................................,"11,018"
Uncopfirmed ..................................................................................,6
"Navy nominations, totaling 7,186 (including 21 nominations carried",
"over from the first session), disposed of as follows:",
Confirmed ......................................................................................,"7,175"
Unconfirmed .. ... ........... ........................ ........................ .... ..............,11
"Marine Cotps nominations, totaling 2,340 (including 8 nominations",
"carried over from the first session), disposed of as follows:",
Confirmed ......................................................................................,"2,339"
Unconfirmed ................................................................................. .,
Summary,
Total nominations carried over from the first session ............................,"7,724"
Total nominations received rhis session .................................................,"26,211"
Total confirmed .....................................................................................,"33,176"
Total unconfitmed .................................................................................,748
Total withdrawn ....................................................................................,11
