"Civilian nominations, totaling 586, disposed of as follows:",
Confirmed .......................................................................... .............,422
Unconfirmed .. .. . ..  .. .  ..  .. .  . .... ..  .. .  ... . .  . ... ... . .  .. .. . . .. . .. .  .. .  . .. ... .. . . . .  .. . .  .. . ..  .. . .  ....,7 9
Withdrawn .................................................................... .................,34
Rejected ..........................................................................................,1
Failed at Aug.-Sept. adjournment ..................................................,3
Failed at sine die adjournment .......................................................,47
"Civilian nominations (lists), totaling 2,978, disposed of as follows:",
Confirmed .......................................................................................,"2,977"
Failed at sine die adjournment .......................................................,
"Air Force nominations, totaling 11,421, disposed of as follows:",
Confirmed .......................... ................................................. ............,"11,394"
Unconfirmed .................................................................................. .,27
"Army nominations, totaling 17,754, disposed of as follows:",
Confirmed .......................................................................................,"15,312"
Unconfirmed ...................................................................................,"2,441"
Failed at sine die adjournment .......................................................,
"Navy nominations, totaling 12,908, disposed of as follows:",
Confirmed .......................................................................................,"12,704"
Unconfirmed ...................................................................................,204
"Marine Corps nominations, totaling 2,787, disposed of as follows:",
Confirmed ................................................... ............... .. ...................,"2,776"
Unconfirmed .................................................................................. .,11
Summary,
"Total nominations received this session ..................................................  48,434",
"Total confirmed ......................................................................................  45,585",
"Total unconfirmed ..................................................................................  2,762",
Total wit hclrawn .....................................................................................  34,
Total rejected ..........................................................................................  1,
Total failed of confirmation at Aug.-Sept. adjournment ....................... . 3,
Total failed of confirmation at sine die adjournment .............................  49,
