"Civilian nominees, totaling 679 (including 181 nominees carried over",
"from the First Session), disposed of as follows:",
Confirmed ......................................................................................,452
Unconfirmed ..................................................................................,197
Withdrawn ....................................................................................,30
Returned to White House .............................................................,197
"Other Civilian nominees, totaling 1,630 (including 291 nominees",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"1,242"
Unconfirmed ..................................................................................,388
Returned to White House .............................................................,388
"Air Force nominees, totaling 6,377 (including 5 nominees carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,327"
Unconfirmed ..................................................................................,50
Returned to White House .............................................................,50
"Army nominees, totaling 8,234 (including 1,992 nominees carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,145"
Unconfirmed ..................................................................................,"2,089"
Returned to White House .............................................................,"2,089"
"Navy nominees, totaling 4,524 (including 1 nominee carried over",
"from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"4,523"
Withdrawn ....................................................................................,1
"Marine Corps nominees, totaling 555 (including 321 nominees carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,553
Unconfirmed ..................................................................................,2
Returned to White House .............................................................,2
"Space Force nominees, totaling 472 (including 2 nominees carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,472
Summary,
Total nominees carried over from the First Session ...............................,"2,793"
Total nominees received this Session .....................................................,"19,678"
Total confirmed .....................................................................................,"19,714"
Total unconfirmed .................................................................................,"2,726"
Total withdrawn ....................................................................................,31
Total returned to the White House ......................................................,"2,726"
