"Civilian nominations, totaling 654 (including 2 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,474
Withdrawn ....................................................................................,14
Returned to White House .............................................................,166
"Other Civilian nominations, totaling 3,585, disposed of as follows:",
Confirmed ......................................................................................,"2,602"
Returned to White House .............................................................,983
"Air Force nominations, totaling 4,424, disposed of as follows:",
Confirmed ......................................................................................,"4,200"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,223
"Army nominations, totaling 6,379, disposed of as follows:",
Confirmed ......................................................................................,"6,325"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,53
"Navy nominations, totaling 3,877, disposed of as follows:",
Confirmed ......................................................................................,"3,875"
Returned to White House .............................................................,2
"Marine Corps nominations, totaling 879, disposed of as follows:",
Confirmed ......................................................................................,878
Returned to White House .............................................................,1
Summary,
Total nominations carried over from the First Session ...........................,2
Total nominations received this Session ................................................,"19,796"
Total confirmed .....................................................................................,"18,354"
Total unconfirmed .................................................................................,0
Total withdrawn ....................................................................................,16
Total returned to the White House ......................................................,"1,428"
