"Civilian nominees, totaling 716, disposed of as follows:",
Confirmed ......................................................................................,366
Unconfirmed ..................................................................................,303
Withdrawn ....................................................................................,47
"Other Civilian nominees, totaling 2,763, disposed of as follows:",
Confirmed ......................................................................................,"2,471"
Unconfirmed ..................................................................................,291
"Air Force nominees, totaling 6,295, disposed of as follows:",
Confirmed ......................................................................................,"6,290"
Unconfirmed ..................................................................................,5
"Army nominees, totaling 8,607, disposed of as follows:",
Confirmed ......................................................................................,"6,614"
Unconfirmed ..................................................................................,"1,992"
Withdrawn ....................................................................................,1
"Navy nominees, totaling 4,411, disposed of as follows:",
Confirmed ......................................................................................,"4,409"
Unconfirmed ..................................................................................,1
Withdrawn ....................................................................................,1
"Marine Corps nominees, totaling 1,644, disposed of as follows:",
Confirmed ......................................................................................,"1,323"
Unconfirmed ..................................................................................,321
"Space Force nominees, totaling 1,916, disposed of as follows:",
Confirmed ......................................................................................,"1,095"
Unconfirmed ..................................................................................,2
Withdrawn ....................................................................................,819
Summary,
Total nominees carried over from the First Session ...............................,0
Total nominees received this Session .....................................................,"26,351"
Total confirmed .....................................................................................,"22,568"
Total unconfirmed .................................................................................,"2,915"
Total withdrawn ....................................................................................,868
Total returned to the White House ......................................................,0
