"Civilian nominations, totaling 479 (including 142 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,250
Unconfirmed ..................................................................................,18
Withdrawn ....................................................................................,13
Returned to White House .............................................................,198
"Other Civilian nominations totaling 2,022 (including 778 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"2,021"
Unconfirmed ..................................................................................,1
"Air Force nominations, totaling 5,784 (including 15 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"5,781"
Returned to White House .............................................................,3
"Army nominations, totaling 6,605 (including 204 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,045"
Unconfirmed ..................................................................................,2
Returned to White House .............................................................,558
"Navy nominations, totaling 5,595 (including 10 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"5,588"
Returned to White House .............................................................,7
"Marine Corps nominations, totaling 2,827 (including 1 nomination",
"carried over from the First Session), disposed as follows:",
Confirmed ......................................................................................,"2,827"
Summary,
Total nominations carried over from First Session .................................,"1,150"
Total nominations received this session .................................................,"22,162"
Total confirmed .....................................................................................,"22,512"
Total unconfirmed .................................................................................,21
Total withdrawn ....................................................................................,13
Total Returned to White House ...........................................................,766
