"Civilian nominations, totaling 629 (including 166 nominations car-",
"ried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,466
Withdrawn ....................................................................................,10
Returned to White House .............................................................,153
"Other Civilian nominations, totaling 2100 (including 535 nomina-",
"tions carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"2,098"
Returned to White House .............................................................,2
"Air Force nominations, totaling 5,817 (including 4 nominations car-",
"ried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"5,811"
Returned to White House .............................................................,6
"Army nominations, totaling 6,235 (including 53 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,225"
Returned to White House .............................................................,10
"Navy nominations, totaling 6,044, disposed of as follows:",
Confirmed ......................................................................................,"6,030"
Returned to White House .............................................................,14
"Marine Corps nominations, totaling 3,011 (including 33 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"3,003"
Returned to White House .............................................................,8
Summary,
Total nominations carried over from the First Session .........................,791
Total nominations Received this Session ..............................................,"23,045"
Total Confirmed ....................................................................................,"23,633"
Total Unconfirmed ................................................................................,0
Total Withdrawn ...................................................................................,10
Total Returned to the White House .....................................................,193
