"Civilian nominations, totaling 437, disposed of as follows:",
Confirmed ......................................................................................,274
Unconfirmed ..................................................................................,142
Withdrawn ....................................................................................,12
Returned to White House .............................................................,9
"Other Civilian nominations, totaling 2,822, disposed of as follows:",
Confirmed ......................................................................................,"2,043"
Unconfirmed ..................................................................................,778
Returned to White House .............................................................,1
"Air Force nominations, totaling 6,234, disposed of as follows:",
Confirmed ......................................................................................,"6,219"
Unconfirmed ..................................................................................,15
"Army nominations, totaling 5,429, disposed of as follows:",
Confirmed ......................................................................................,"5,225"
Unconfirmed ..................................................................................,204
"Navy nominations, totaling 6,590, disposed of as follows:",
Confirmed ......................................................................................,"6,580"
Unconfirmed ..................................................................................,10
"Marine Corps nominations, totaling 2,128, disposed of as follows:",
Confirmed ......................................................................................,"2,127"
Unconfirmed ..................................................................................,1
Summary,
Total nominations received this session .................................................,"23,640"
Total confirmed .....................................................................................,"22,468"
Total unconfirmed .................................................................................,"1,150"
Total withdrawn ....................................................................................,12
Total Returned to White House ...........................................................,10
