"Civilian nominations, totaling 511, disposed of as follows:",
Confirmed ......................................................................................,325
Unconfirmed ..................................................................................,148
Withdrawn ....................................................................................,18
Returned to White House .............................................................,20
"Other Civilian nominations, totaling 2,740, disposed of as follows:",
Confirmed ......................................................................................,"1,960"
Unconfirmed ..................................................................................,780
"Air Force nominations, totaling 9,860, disposed of as follows:",
Confirmed ......................................................................................,"9,723"
Unconfirmed ..................................................................................,100
Returned to White House .............................................................,37
"Army nominations, totaling 8,586, disposed of as follows:",
Confirmed ......................................................................................,"7,971"
Unconfirmed ..................................................................................,608
Returned to White House .............................................................,7
"Navy nominations, totaling 4,607, disposed of as follows:",
Confirmed ......................................................................................,"4,583"
Unconfirmed ..................................................................................,21
Returned to White House .............................................................,3
"Marine Corps nominations, totaling 1,382, disposed of as follows:",
Confirmed ......................................................................................,"1,380"
Unconfirmed ..................................................................................,2
Summary,
Total nominations carried over from the previous Session .....................,0
Total nominations received this Session ................................................,"27,686"
Total confirmed .....................................................................................,"25,942"
Total unconfirmed .................................................................................,"1,659"
Total withdrawn ....................................................................................,18
Total Returned to the White House .....................................................,67
