"Civilian nominations, totaling 461 , disposed of as follows:",
Confirmed ......................................................................................,331
Unconfirmed ..................................................................................,119
Withdrawn ....................................................................................,10
Returned at Sine Die Adjournment ...............................................,
"Civilian nominations (FS, PHS, CG, NOAA), totaling 2,005, disposed",
of as follows:,
Confirmed ......................................................................................,"1,685"
Unconfirmed ..................................................................................,320
"Air Force nominations, totaling 18,521, disposed of as follows:",
Confirmed,"13,569"
Unconfirmed ................................................................................. .,"4,952"
"Army nominations, totaling 12,345, disposed of as follows:",
Confirmed ......................................................................................,"10,041"
Unconfirmed ..................................................................................,"2,304"
"Navy nominations, totaling 12,106, disposed of as follows:",
Confirmed ......................................................................................,"12,077"
Unconfirmed,21
Returned at Sine Die Adjournment ...............................................,8
"Marine Corps nominations, totaling 2,841, disposed of as follows:",
Confirmed,"2,832"
Unconfirmed ..................................................................................,8
Withdrawn ....................................................................................,
Summary,
"Total nominations received this session ................................. ,...............","48,279"
Total confirmed .....................................................................................,"40,535"
Total unconfirmed,"7,724"
Total withdrawn ....................................................................................,11
Returned at Sine Die Adjournment .......................................................,9
