"Civilian nominations, totaling 366, disposed of as follows:",
Confirmed ......................................................................................,173
Unconfirmed ..................................................................................,181
Withdrawn ....................................................................................,10
Returned to White House .............................................................,2
"Other Civilian nominations, totaling 3,802, disposed of as follows:",
Confirmed ......................................................................................,"3,383"
Unconfirmed ..................................................................................,97
Withdrawn ....................................................................................,322
"Air Force nominations, totaling 5,734, disposed of as follows:",
Confirmed ......................................................................................,"5,550"
Unconfirmed ..................................................................................,181
Withdrawn ....................................................................................,3
"Army nominations, totaling 5,214, disposed of as follows:",
Confirmed ......................................................................................,"3,474"
Unconfirmed ..................................................................................,"1,740"
"Navy nominations, totaling 3,936, disposed of as follows:",
Confirmed ......................................................................................,"3,931"
Unconfirmed ..................................................................................,5
"Marine Corps nominations, totaling 1,070, disposed of as follows:",
Confirmed ......................................................................................,"1,067"
Unconfirmed ..................................................................................,3
Summary,
Total nominations carried over from the First Session ...........................,0
Total nominations received this Session ................................................,"20,122"
Total confirmed .....................................................................................,"17,578"
Total unconfirmed .................................................................................,"2,207"
Total withdrawn ....................................................................................,335
Total returned to the White House ......................................................,2
