"Civilian nominations, totaling 710 (including 146 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,392
Unconfirmed ..................................................................................,296
Withdrawn ....................................................................................,22
"Other Civilian nominations, totaling 2,025 (including 2 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"2,015"
Unconfirmed ..................................................................................,9
Withdrawn ....................................................................................,1
"Air Force nominations, totaling 6,274 (including 76 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,264"
Unconfirmed ..................................................................................,9
Withdrawn ....................................................................................,1
"Army nominations, totaling 7,283 (including 12 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"7,273"
Unconfirmed ..................................................................................,10
"Navy nominations, totaling 4,463 (including 11 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"4,462"
Unconfirmed ..................................................................................,1
"Marine Corps nominations, totaling 1,347, disposed of as follows:",
Confirmed ......................................................................................,"1,345"
Unconfirmed ..................................................................................,2
Summary,
Total nominations carried over from the First Session ...........................,247
Total nominations received this Session ................................................,"21,855"
Total confirmed .....................................................................................,"21,751"
Total unconfirmed .................................................................................,225
Total withdrawn ....................................................................................,24
Total returned to the White House ......................................................,0
