"Civilian nominations, totaling 696, disposed of as follows:",
Confirmed ......................................................................................,466
Unconfirmed ..................................................................................,209
Withdrawn ....................................................................................,14
Returned to White House .............................................................,7
"Other Civilian nominations, totaling 2,526, disposed of as follows:",
Confirmed ......................................................................................,"2,413"
Unconfirmed ..................................................................................,112
Withdrawn ....................................................................................,1
"Air Force nominations, totaling 7,870, disposed of as follows:",
Confirmed ......................................................................................,"7,111"
Unconfirmed ..................................................................................,759
"Army nominations, totaling 7,223, disposed of as follows:",
Confirmed ......................................................................................,"7,146"
Unconfirmed ..................................................................................,76
Returned to White House .............................................................,1
"Navy nominations, totaling 4,442, disposed of as follows:",
Confirmed ......................................................................................,"4,434"
Unconfirmed ..................................................................................,8
"Marine Corps nominations, totaling 2,194, disposed of as follows:",
Confirmed ......................................................................................,"1,480"
Unconfirmed ..................................................................................,714
Summary,
Total nominations carried over from the First Session ...........................,0
Total nominations received this Session ................................................,"24,951"
Total confirmed .....................................................................................,"23,050"
Total unconfirmed .................................................................................,"1,878"
Total withdrawn ....................................................................................,15
Total returned to the White House ......................................................,8
