"Civilian nominations, totaling 354 (including 181 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,91
Withdrawn ....................................................................................,12
Returned to White House .............................................................,251
"Other Civilian nominations, totaling 2,412 (including 97 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"2,367"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,44
"Air Force nominations, totaling 7,568 (including 181 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"7,495"
Returned to White House .............................................................,73
"Army nominations, totaling 5,899 (including 1,740 nominations car-",
"ried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"5,878"
Returned to White House .............................................................,21
"Navy nominations, totaling 4,408 (including 5 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"4,401"
Withdrawn ....................................................................................,2
Returned to White House .............................................................,5
"Marine Corps nominations, totaling 1,246 (including 3 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"1,245"
Returned to White House .............................................................,1
Summary,
Total nominations carried over from the First Session ...........................,"2,207"
Total nominations received this Session ................................................,"19,680"
Total confirmed .....................................................................................,"21,477"
Total unconfirmed .................................................................................,0
Total withdrawn ....................................................................................,15
Total returned to the White House ......................................................,395
