"Civilian nominations, totaling 594, disposed of as follows:",
Confirmed ......................................................................................,322
Unconfirmed ..................................................................................,146
Withdrawn ....................................................................................,36
Returned to White House .............................................................,90
"Other Civilian nominations, totaling 1,211, disposed of as follows:",
Confirmed ......................................................................................,"1,200"
Unconfirmed ..................................................................................,2
Returned to White House .............................................................,9
"Air Force nominations, totaling 5,978, disposed of as follows:",
Confirmed ......................................................................................,"5,899"
Unconfirmed ..................................................................................,76
Withdrawn ....................................................................................,1
Returned to White House .............................................................,2
"Army nominations, totaling 6,617, disposed of as follows:",
Confirmed ......................................................................................,"6,604"
Unconfirmed ..................................................................................,12
Withdrawn ....................................................................................,1
"Navy nominations, totaling 4,285, disposed of as follows:",
Confirmed ......................................................................................,"4,273"
Unconfirmed ..................................................................................,11
Returned to White House .............................................................,1
"Marine Corps nominations, totaling 1,314, disposed of as follows:",
Confirmed ......................................................................................,"1,314"
Summary,
Total nominations carried over from the First Session ...........................,0
Total nominations received this Session ................................................,"19,999"
Total confirmed .....................................................................................,"19,612"
Total unconfirmed .................................................................................,247
Total withdrawn ....................................................................................,38
Total returned to the White House ......................................................,102
