"Civilian nominations, totaling 460 (including 124 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed .......................................................................................,319
Withdrawn .....................................................................................,24
Returned to White House ..............................................................,114
"Civilian nominations (FS, PHS, CG, NOAA), totaling 1,532 (including",
"86 nominations carried over from the First Session), disposed of",
as follows:,
Confirmed .......................................................................................,"1,526"
Returned to White House ..............................................................,6
"Air Force nominations, totaling 6,091 (including 21 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed .......................................................................................,"6,087"
Returned to White House ..............................................................,4
"Army nominations, totaling 5,481 (including 2 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed .......................................................................................,"5,478"
Returned to White House ..............................................................,3
"Navy nominations, totaling 5,051 (including 4 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed .......................................................................................,"5,045"
Returned to White House ..............................................................,6
"Marine Corps nominations, totaling 1,847, disposed of as follows:",
Confirmed .......................................................................................,"1,847"
Summary,
Total nominations carried over from the First Session ............................,237
Total nominations received this session ..................................................,"20,225"
Total Confirmed .....................................................................................,"20,302"
Total Withdrawn ....................................................................................,27
Total Returned to White House ............................................................,133
