"Civilian nominees, totaling 373 (including 87 nominees carried over",
"from the First Session), disposed of as follows:",
Confirmed ......................................................................................,172
Unconfirmed ..................................................................................,0
Withdrawn ....................................................................................,19
Returned to White House .............................................................,182
"Other Civilian nominees, totaling 1,860 (including 1 nominees carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"1,857"
Returned to White House .............................................................,3
"Air Force nominees, totaling 5,669, disposed of as follows:",
Confirmed ......................................................................................,"5,654"
Returned to White House .............................................................,15
"Army nominees, totaling 6,389 (including 3 nominees carried over",
"from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,381"
Withdrawn ....................................................................................,2
Returned to White House .............................................................,6
"Navy nominees, totaling 4,682 (including 2 nominees carried over",
"from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"4,680"
Returned to White House .............................................................,2
"Marine Corps nominees, totaling 2,258, disposed of as follows:",
Confirmed ......................................................................................,"2,157"
Returned to White House .............................................................,101
"Space Force nominees, totaling 716, disposed of as follows:",
Confirmed ......................................................................................,716
Summary,
Total nominees carried over from the First Session ...............................,93
Total nominees received this Session .....................................................,"21,854"
Total confirmed .....................................................................................,"21,617"
Total unconfirmed .................................................................................,0
Total withdrawn ....................................................................................,21
Total returned to the White House ......................................................,309
