"Civilian Nominations, totaling 433 (including 188 nominations car-",
"ried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,294
Withdrawn ....................................................................................,16
Returned to White House .............................................................,123
"Other Civilian Nominations, totaling 4,941 (including 167 nomina-",
"tions carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"4,931"
Withdrawn ....................................................................................,3
Returned to White House .............................................................,7
"Air Force Nominations, totaling 6,593 (including 295 nominations",
"carried over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"6,582"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,10
"Army Nominations, totaling 7,316 (including 16 nominations carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"7,304"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,11
"Navy Nominations, totaling 3,873 (including 1 nomination carried",
"over from the First Session), disposed of as follows:",
Confirmed ......................................................................................,"3,871"
Returned to White House .............................................................,2
"Marine Corps Nominations, totaling 1,314, disposed of as follows:",
Confirmed ......................................................................................,"1,314"
Summary,
Total Nominations carried over from the First Session .........................,667
Total Nominations Received this Session ..............................................,"23,803"
Total Confirmed ....................................................................................,"24,296"
Total Unconfirmed ................................................................................,0
Total Withdrawn ...................................................................................,21
Total Returned to the White House .....................................................,153
