"Civilian nominations, totaling 600, disposed of as follows:",
Confirmed ......................................................................................,378
Unconfirmed ..................................................................................,195
Withdrawn ....................................................................................,13
Returned to White House .............................................................,14
"Other Civilian nominations, totaling 2,578, disposed of as follows:",
Confirmed ......................................................................................,"2,573"
Unconfirmed ..................................................................................,5
"Air Force nominations, totaling 9,068, disposed of as follows:",
Confirmed ......................................................................................,"5,494"
Unconfirmed ..................................................................................,"3,572"
Returned to White House .............................................................,2
"Army nominations, totaling 6,012, disposed of as follows:",
Confirmed ......................................................................................,"5,416"
Unconfirmed ..................................................................................,594
Returned to White House .............................................................,2
"Navy nominations, totaling 7,752, disposed of as follows:",
Confirmed ......................................................................................,"5,308"
Unconfirmed ..................................................................................,"2,444"
"Marine Corps nominations, totaling 2,413, disposed of as follows:",
Confirmed ......................................................................................,"2,411"
Unconfirmed ..................................................................................,2
Summary,
Total nominations carried over from the First Session .........................,0
Total nominations Received this Session ..............................................,"28,423"
Total Confirmed ....................................................................................,"21,580"
Total Unconfirmed ................................................................................,"6,812"
Total Withdrawn ...................................................................................,13
Total Returned to the White House .....................................................,18
