"Civilian nominations, totaling 470, disposed of as follows:",
Confirmed.............................................................................,331
Unconfirmed.........................................................................,112
Withdrawn............................................................................,10
Rejected ............................................................................... .,
Returned*.............................................................................,7
Returned**...........................................................................,9
"Civilian nominations (lists), totaling .4,248, disposed of as fol­",
lows:,
Confirmed.............................................................................,"4,238"
Unconfirmed.........................................................................,10
"Air Force nominations, totaling 18,667, disposed of as follows:",
Confirmed. ............................................................................,"15,711"
Unconfirmed.........................................................................,"2,955"
Returned .............................................................................. .,
"Army nominations, totaling 14,448, disposed of as follows:",
Confirmed. ............................................................................,"12,086"
Unconfirmed.........................................................................,"2,361"
Returned. ............................................................................. .,
"Navy nominations, totaling 12,101, disposed of as follows:",
Confirmed.............................................................................,"12,055"
Unconfirmed.........................................................................,46
"Marine Corps nominations, totaling 1,995, disposed of as follows:",
Confirmed.............................................................................,"1,983"
Unconfirmed.........................................................................,10
Returned*.............................................................................,2
Summary,
Total nominations received ..........................................................,"51,929"
Total confirmed ...........................................................................,"46,404"
Total unconfirmed........................................................................,"5,494"
Total withdrawn...........................................................................,10
Total rejected...............................................................................,1
Total returned................................................................ . . . . . . . . . . . . .,20
